brand,screens,seats
아트하우스모모,2,276
CGV 성신여대입구,5,768
CGV 천안시청,8,964
CGV 연남,6,734
CGV 역곡,6,451
CGV 범계,6,490
영천공설시장 별빛영화관,1,76
CGV DRIVE IN 스퀘어원,1,200
롯데시네마 부산명지,7,810
CGV 인천도화,6,536
메가박스 덕천,9,690
삼척 가람영화관,3,268
CGV 강릉,9,1619
CGV 인천연수,7,1543
롯데시네마 속초,5,516
씨네Q 보은,2,91
CGV 화명,7,756
CGV 천호,6,1240
CGV 명동,5,736
CGV 동대문,6,676
CGV 수유,9,972
CGV 미아,6,692
CGV 대연,8,1171
CGV 광주금남로,9,955
CGV 센텀시티,8,2062
CGV 상봉,7,1167
CGV 김포,6,806
CINE de CHEF 용산아이파크몰,2,114
메가박스 백석,7,1222
CGV 동탄역,7,1026
정남진시네마,2,99
롯데시네마 영주,6,909
씨네큐 천안불당,4,317
CGV 광양엘에프스퀘어,7,1204
CGV 충주교현,6,463
CGV 경산,7,561
CGV 인제,3,513
CGV 광교,7,1528
CGV 광주첨단,9,1219
CGV 대구월성,7,1247
CGV 청주성안길,8,904
CGV 청주지웰시티,8,1675
CGV 홍성,6,869
CGV 천안펜타포트,11,1422
CGV 천안,8,1017
CGV 논산,5,660
CGV 제주노형,6,857
CGV 제주,8,842
CGV 전주효자,7,1795
CGV서전주,5,720
CGV 목포,7,2343
CGV 나주,6,665
CGV 광양,4,670
CGV 청라,7,1073
롯데시네마 중랑,8,973
롯데시네마 원주무실,8,1079
CGV 주안역,9,1004
CGV 인천학익,6,1012
CGV 울산진장,7,1066
CGV 울산신천,4,363
CGV 울산삼산,11,2487
롯데시네마 상인,7,1276
CGV 왕십리,10,1770
CGV 중계,7,1090
CINE de CHEF 센텀,2,90
CGV 강남,7,974
CGV 아시아드,8,1383
CGV 하단아트몰링,7,888
CGV 동래,9,1385
CGV 대전,9,1880
CGV 대전가수원,5,1016
CGV 대전터미널,7,1464
CGV 대구한일,6,1085
CGV 대구스타디움,10,1458
CGV 대구칠곡,7,1099
CGV 광주충장로,5,719
CGV 창원더시티,6,1178
CGV 창원,6,1105
CGV 창원상남,5,593
CGV 양산삼호,3,411
CGV 거제,7,1223
CGV 동탄호수공원,6,640
롯데시네마 대전센트럴,7,859
롯데시네마 도곡,7,847
CGV 스타필드시티위례,6,881
CGV 포천,5,415
CGV 파주야당,5,414
CGV 이천,10,1143
CGV 의정부,8,1523
CGV 오산중앙,8,552
CGV 양주옥정,7,724
CGV 배곧,6,853
CGV 시흥,4,462
CGV 수원,8,2189
CGV 동수원,8,1251
CGV 야탑,8,1326
CGV 김포한강,4,478
CGV 일산,9,1704
CGV 고양행신,6,658
칠곡호이영화관(씨네Q),2,94
안동중앙시네마,1,144
양양 작은영화관,2,94
태안시네마,2,99
CGV 의정부태흥,10,1528
메가박스 강남대로(씨티),4,719
CGV 하남미사,7,875
헤이리시네마,1,30
에무 시네마 앤 카페,2,102
더숲 아트시네마,2,82
메가박스 홍성내포,5,657
메가박스 속초,5,585
CGV 김해장유,6,968
CGV 구미,10,1346
CGV 안동,6,674
CGV 김천율곡,5,816
롯데시네마 프리미엄 경남대,6,348
메가박스송파파크하비오,9,1007
롯데시네마 병점,8,1098
롯데시네마 부천(신중동역),8,1297
롯데시네마 대전둔산(월평동),10,1669
롯데시네마 광주(백화점)_Charlotte관,1,30
롯데시네마 광주(백화점),5,994
롯데시네마 영종하늘도시,3,270
롯데시네마 프리미엄칠곡,6,484
롯데시네마 대구광장,7,1300
롯데시네마 동성로_Charlotte관,1,36
CGV 여수웅천,8,872
롯데시네마 동부산(아울렛),6,1014
CGV 군산,5,975
인디플러스 포항,1,262
CGV 보령,5,763
롯데시네마 브로드웨이(신사),6,570
롯데시네마 독산,8,1606
CGV 청주율량,11,1535
CGV 용인,8,671
CGV 오산,6,363
CGV 부천,8,1326
CGV 세종,7,1094
CGV 대전가오,7,1163
홍천시네마,2,98
CGV 불광,9,1620
현대예술관시네마,5,1822
고한 시네마,2,113
아리아리 정선시네마,2,101
전주디지털독립영화관,1,98
청양 시네마,2,98
화천 작은영화관,3,322
롯데시네마 거창,2,410
씨네큐 구미봉곡,5,502
씨네큐 경주보문,6,767
한림 작은영화관,2,98
롯데시네마 마산(합성동),7,590
CGV 성남모란,6,714
CGV 정관,9,654
CGV 화성봉담,4,379
CGV 부평,10,1552
메가박스 원주,8,797
CGV 홍대,6,936
CGV 대전탄방,6,970
씨네큐브광화문(서울),2,365
CGV 충북혁신,5,799
CGV 광교상현,4,406
아트나인,2,150
롯데시네마 익산모현,7,1243
CGV 당진,7,1075
CGV 순천,8,1188
CGV 목포평화광장,8,1300
CGV 유성노은,5,968
CGV 광주용봉,10,1465
CGV 마산,7,1178
CGV 평택소사,6,750
CGV 서현,4,455
CGV 구리,7,1165
광주독립영화관,1,105
씨네아트 리좀,1,51
메가박스 오창,8,1013
메가박스 영종,6,677
메가박스 마곡,6,815
메가박스 정관,6,578
메가박스 별내,6,454
롯데시네마 청량리,8,1737
롯데시네마 진해,6,952
롯데시네마 진주혁신,7,1268
롯데시네마 진접,3,328
롯데시네마 전주평화,6,1040
롯데시네마 인천아시아드,6,1155
메가박스 군자,9,1127
롯데시네마 의정부민락,7,902
롯데시네마 안양일번가,8,858
롯데시네마 아산터미널,6,1020
롯데시네마 성서,9,1644
롯데시네마 동성로,8,1376
롯데시네마 용인기흥,7,1091
롯데시네마 군산몰,7,1014
롯데시네마 광주터미널,3,231
메가박스강동,10,1352
CGV 안성,8,1001
롯데시네마 김포공항_샤롯데,1,32
대구독립영화전용관 오오극장,1,55
롯데시네마 서귀포,6,649
CGV 경기광주,8,1202
CGV 대구수성,4,804
CGV 화정,8,886
CGV 파주문산,3,341
CGV 김포운양,4,424
