brand,3D,4D,IMAX
씨네큐 신도림,2,0,0
라이카시네마,0,0,0
메가박스 충주,3,0,0
인디스페이스,0,0,0
아리랑시네센터(서울),2,0,0
동광극장(구 문화극장3관),0,0,0
문화극장 2관,0,0,0
애관극장(인천),0,0,0
예당시네마,0,0,0
KU시네마테크,0,0,0
조종시네마,0,0,0
함안군 작은영화관,1,0,0
화순시네마,1,0,0
인천대한극장,1,0,0
대한극장(서울),3,0,0
CGV 원통,1,0,0
명보시네마,0,0,0
영월시네마,1,0,0
대전독립영화전용관 씨네인디U,0,0,0
구례자연드림시네마,2,0,0
무주 산골 영화관,1,0,0
CGV 동백,3,0,0
영화공간주안,0,0,0
조이아트시네마,0,0,0
조이앤시네마 전주점,1,0,0
고흥 작은영화관,0,0,0
이봄씨어터,0,0,0
CGV 광주터미널,4,1,1
엠시네마 자동차극장,0,0,0
지평선시네마,1,0,0
CGV 청담씨네시티,6,1,0
영화의 전당,2,0,0
스타박스,1,0,0
합천시네마,1,0,0
완도 빙그레 시네마,1,0,0
1939시네마,1,0,0
마이골 작은영화관,1,0,0
천재의 공간 영화산책,1,0,0
동리시네마,1,0,0
CGV 소풍,2,0,1
서천군 기벌포영화관,1,0,0
광주자동차극장,1,0,0
CGV 울산동구,0,0,0
루프탑시네마 모다순천,0,0,0
진도아리랑 시네마,1,0,0
횡성시네마,1,0,0
완주 휴 시네마,1,0,0
CGV 평택고덕,1,0,0
CGV 대학로,3,0,0
롯데시네마 센텀시티(백화점)_샤롯데,1,0,0
NH시네마,1,0,0
CGV 부산명지,0,0,0
롯데시네마 위례,2,0,0
롯데시네마 김해부원,2,0,0
롯데시네마 서청주(아울렛),3,1,0
롯데시네마 광복_샤롯데,1,0,0
메가박스 상봉,1,0,0
롯데시네마 광명아울렛,2,0,0
롯데시네마 부평,4,0,0
롯데시네마 산본피트인,2,0,0
CGV 피카디리1958,2,0,0
예산시네마,1,0,0
CGV 전주에코시티,0,0,0
메가박스 수원,1,0,0
CGV DRIVE IN 곤지암,0,0,0
CGV Salon 서초,0,0,0
천안인생극장,0,0,0
CGV 기흥,0,0,0
CGV 대구연경,0,0,0
CGV 서면삼정타워,1,0,0
CGV 김해율하,0,0,0
CGV 해운대,3,0,0
롯데시네마 동탄_샤롯데,0,0,0
아트하우스모모,1,0,0
CGV 성신여대입구,0,0,0
CGV 천안시청,1,0,0
CGV 연남,1,1,0
CGV 역곡,2,0,0
CGV 범계,1,0,0
영천공설시장 별빛영화관,0,0,0
CGV DRIVE IN 스퀘어원,0,0,0
롯데시네마 부산명지,1,0,0
CGV 인천도화,0,0,0
메가박스 덕천,1,0,0
삼척 가람영화관,2,0,0
CGV 강릉,3,0,0
CGV 인천연수,2,0,0
롯데시네마 속초,1,0,0
씨네Q 보은,1,0,0
CGV 화명,2,0,0
CGV 천호,4,0,1
CGV 명동,4,0,0
CGV 동대문,3,0,0
CGV 수유,0,0,0
CGV 미아,3,0,0
