province,brand
서울시,더숲 아트시네마
충청남도,메가박스 홍성내포
강원도,메가박스 속초
경상남도,CGV 김해장유
경상북도,CGV 구미
경상북도,CGV 안동
경상북도,CGV 김천율곡
경상남도,롯데시네마 프리미엄 경남대
서울시,메가박스송파파크하비오
경기도,롯데시네마 병점
경기도,롯데시네마 부천(신중동역)
대전시,롯데시네마 대전둔산(월평동)
광주시,롯데시네마 광주(백화점)_Charlotte관
광주시,롯데시네마 광주(백화점)
인천시,롯데시네마 영종하늘도시
대구시,롯데시네마 프리미엄칠곡
대구시,롯데시네마 대구광장
대구시,롯데시네마 동성로_Charlotte관
전라남도,CGV 여수웅천
부산시,롯데시네마 동부산(아울렛)
전라북도,CGV 군산
경상북도,인디플러스 포항
충청남도,CGV 보령
서울시,롯데시네마 브로드웨이(신사)
서울시,롯데시네마 독산
충청북도,CGV 청주율량
경기도,CGV 용인
경기도,CGV 오산
경기도,CGV 부천
세종시,CGV 세종
대전시,CGV 대전가오
강원도,홍천시네마
서울시,CGV 불광
울산시,현대예술관시네마
강원도,고한 시네마
강원도,아리아리 정선시네마
전라북도,전주디지털독립영화관
충청남도,청양 시네마
강원도,화천 작은영화관
경상남도,롯데시네마 거창
경상북도,씨네큐 구미봉곡
경상북도,씨네큐 경주보문
제주도,한림 작은영화관
경상남도,롯데시네마 마산(합성동)
경기도,CGV 성남모란
부산시,CGV 정관
경기도,CGV 화성봉담
인천시,CGV 부평
강원도,메가박스 원주
서울시,CGV 홍대
대전시,CGV 대전탄방
서울시,씨네큐브광화문(서울)
충청북도,CGV 충북혁신
경기도,CGV 광교상현
서울시,아트나인
전라북도,롯데시네마 익산모현
충청남도,CGV 당진
전라남도,CGV 순천
전라남도,CGV 목포평화광장
대전시,CGV 유성노은
광주시,CGV 광주용봉
경상남도,CGV 마산
경기도,CGV 평택소사
경기도,CGV 서현
경기도,CGV 구리
광주시,광주독립영화관
경상남도,씨네아트 리좀
충청북도,메가박스 오창
인천시,메가박스 영종
서울시,메가박스 마곡
부산시,메가박스 정관
경기도,메가박스 별내
서울시,롯데시네마 청량리
경상남도,롯데시네마 진해
경상남도,롯데시네마 진주혁신
경기도,롯데시네마 진접
전라북도,롯데시네마 전주평화
인천시,롯데시네마 인천아시아드
서울시,메가박스 군자
경기도,롯데시네마 의정부민락
경기도,롯데시네마 안양일번가
충청남도,롯데시네마 아산터미널
대구시,롯데시네마 성서
대구시,롯데시네마 동성로
경기도,롯데시네마 용인기흥
전라북도,롯데시네마 군산몰
경기도,롯데시네마 광주터미널
서울시,메가박스강동
경기도,CGV 안성
서울시,롯데시네마 김포공항_샤롯데
대구시,대구독립영화전용관 오오극장
제주도,롯데시네마 서귀포
경기도,CGV 경기광주
대구시,CGV 대구수성
경기도,CGV 화정
경기도,CGV 파주문산
경기도,CGV 김포운양
